Commodity|Variety source|Lowest Price|Highest Price|Most Frequent Price
Cabbage (Red)|Local|-|-|-
Callaloo|Shredded|$286|$308|$297
Callaloo|Whole|$154|$154|$154
Cantaloupe|Imported|-|-|-
Cantaloupe|Local|$198|$264|$227.33
Carrot|Local|$264|$330|$330
Cauliflower|Imported|-|-|-
Cauliflower|Local|$620|$660|$620
Coco|Local|$330|$440|$330
Cucumber|Local|$220|$220|$220
Dasheen|Local|$330|$330|$330
Escallion|Local|$330|$396|$396
Ginger|Imported|-|-|-
Ginger|Local|$700|$836|$768
Green Banana|Local|$102.78|$115.11|$110.96
Gungo Peas|Dry|$440|$555|$493.05
Gungo Peas|Green|-|-|-
Honeydew Melon|Local|$330|$330|$330
Irish Potato|Imported|$594|$594|$594
Irish Potato|Local|$700|$700|$700
Lettuce|Iceberg (Imported)|-|-|-
Lettuce|Iceberg (Local)|$770|$1100|$916.67
Lettuce|Other|-|-|-
Lettuce|Romaine (Imported)|-|-|-
Lettuce|Romaine (Local)|-|-|-
Okra|Local|$330|$374|$330
Onion|Imported|$318|$382|$350
Onion|Local|-|-|-
Pak Choi|Local|$330|$350|$340
Papaya|Local|$176.4|$187|$181.7
Pepper|Scotch Bonnet|$440|$440|$440
Pepper|West Indian Red|$440|$440|$440
Pineapple|Cow Boy|$198|$351.2|$279.73
Pineapple|MD 2|-|-|-
Pineapple|Sugar Loaf|$198|$351.2|$274.6
Plantain|Green|$220.5|$242|$231.25
Plantain|Ripe|$242|$242|$242
Pumpkin|Local|$198|$220.5|$212.83
Sorrel|Local|-|-|-
String Bean|Local|$440|$660|$550
Sweet Pepper (Green)|Green House (Local)|-|-|-
Sweet Pepper (Green)|Imported|-|-|-
Sweet Pepper (Green)|Local|$364|$506|$422
Sweet Pepper (Red)|Green House (Local)|$660|$660|$660
Sweet Pepper (Red)|Imported|-|-|-
Sweet Pepper (Red)|Local|$770|$770|$770
Sweet Pepper (Yellow)|Green House (Local)|$660|$660|$660
Sweet Pepper (Yellow)|Imported|-|-|-
Sweet Pepper (Yellow)|Local|$770|$770|$770
Sweet Potato|Local|$220|$286|$286
Thyme|Local|$880|$880|$880
Tomatoes(Plummy)|Imported|-|-|-
Tomatoes(Plummy)|Local|$330|$550|$440
Tomatoes(Salad)|Local|$396|$440|$440
Watermelon|Local|$220|$220|$220
Yam|Negro|$440|$440|$440
Yam|Sweet|-|-|-
Yam|White (Lucea)|-|-|-
Yam|Yellow|$550|$550|$550
